#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
0	153	-1.0	1
153	14512	-1.0	1
14512	26315	1878.2	1
26315	34227	1879.9	1
34227	46941	1875.7	1
46941	61000	1876.7	1
61000	68867	1879.5	1
68867	87101	-1.0	1
87101	96936	-1.0	1
96936	108159	-1.0	1
108159	118868	1876.6	1
118868	125632	1883.1	1
125632	138165	-1.0	1
138165	151152	-1.0	1
151152	161669	-1.0	1
161669	171994	1879.1	1
171994	179320	1874.7	1
179320	193224	1879.5	1
193224	202989	-1.0	1
202989	214793	-1.0	1
214793	225416	-1.0	1
225416	235974	1879.9	1
235974	252233	1875.5	1
252233	261365	1862.7	1
261365	268676	1874.0	1
268676	284090	1874.4	1
284090	293317	1877.1	1
293317	305217	-1.0	1
305217	313561	-1.0	1
313561	323986	-1.0	1
323986	336598	1871.2	1
336598	350653	1877.3	1
350653	358255	1872.6	1
358255	370980	1876.9	1
370980	381734	1873.4	1
381734	387964	1871.2	1
387964	397837	1873.2	1
397837	414382	1877.3	1
414382	425075	1876.1	1
425075	434903	1879.1	1
434903	441353	1872.8	1
441353	457189	1871.6	1
457189	472045	1872.5	1
472045	479919	1873.4	1
479919	490699	1867.2	1
490699	501713	1880.7	1
501713	512948	1877.2	1
512948	523302	-1.0	1
523302	538661	-1.0	1
538661	544229	-1.0	1
544229	555313	1875.8	1
555313	570401	1874.7	1
570401	581592	1873.6	1
581592	592647	-1.0	1
592647	602774	-1.0	1
602774	613676	-1.0	1
613676	624742	-1.0	1
624742	641234	1874.8	1
641234	646580	1877.2	1
646580	657679	1868.6	1
657679	668190	1869.6	1
668190	679370	1874.6	1
679370	695185	1874.0	1
695185	706486	1874.6	1
706486	717494	1875.4	1
717494	723339	1872.2	1
723339	740034	1876.4	1
740034	750958	1876.7	1
750958	761894	1868.2	1
761894	772360	1876.0	1
772360	783011	1880.5	1
783011	791705	1870.6	1
791705	807997	1874.4	1
807997	819085	1876.2	1
819085	824097	1869.6	1
824097	834388	1876.8	1
834388	845858	1873.8	1
845858	860127	1872.5	1
860127	870566	1871.2	1
870566	878260	1872.2	1
878260	891989	1875.4	1
891989	902457	1876.3	1
902457	919110	1874.4	1
919110	927850	1876.4	1
927850	939182	1867.4	1
939182	945662	1867.8	1
945662	956053	1869.4	1
956053	971914	1878.5	1
971914	982159	1879.0	1
982159	993435	1873.6	1
993435	1004001	1868.2	1
1004001	1014502	1874.4	1
1014502	1021913	1878.0	1
1021913	1036140	1869.0	1
1036140	1046863	1875.4	1
1046863	1057737	1875.0	1
1057737	1063252	1876.4	1
1063252	1079486	1875.8	1
1079486	1096113	1876.6	1
1096113	1101334	1876.2	1
1101334	1111835	1873.0	1
1111835	1125447	1873.8	1
1125447	1141938	1875.0	1
1141938	1146919	1875.8	1
1146919	1157391	1875.8	1
1157391	1168037	1872.8	1
1168037	1182097	1871.8	1
1182097	1193041	1873.4	1
1193041	1203644	1877.9	1
1203644	1214777	1884.3	1
1214777	1225039	1873.4	1
1225039	1234477	1873.4	1
1234477	1252216	1875.4	1
1252216	1258257	1875.8	1
1258257	1273530	1876.0	1
1273530	1278677	1874.2	1
1278677	1294326	1874.0	1
1294326	1304647	1869.0	1
1304647	1312744	1875.4	1
1312744	1325188	1871.8	1
1325188	1335876	1876.2	1
1335876	1346135	1875.6	1
1346135	1363752	1874.4	1
1363752	1366777	1870.0	1
1366777	1377479	1874.8	1
1377479	1391690	1874.4	1
1391690	1401466	1874.8	1
1401466	1416660	1877.4	1
1416660	1421472	1870.8	1
1421472	1435121	1868.2	1
1435121	1441131	1868.3	1
1441131	1455934	1868.4	1
1455934	1466617	1876.8	1
1466617	1477382	1875.8	1
1477382	1487995	1871.6	1
1487995	1499854	1875.6	1
1499854	1509961	1871.2	1
1509961	1531820	1879.6	1
1531820	1547959	1874.8	1
1547959	1558723	1878.2	1
1558723	1564124	1876.0	1
1564124	1584617	1876.2	1
1584617	1590659	1876.4	1
1590659	1602335	1874.4	1
1602335	1613042	1874.9	1
1613042	1624247	1875.4	1
1624247	1634057	1876.6	1
1634057	1643934	1874.4	1
1643934	1660002	1878.0	1
1660002	1668576	1867.8	1
1668576	1681379	1876.4	1
1681379	1702800	1873.0	1
1702800	1707862	1865.2	1
