#Processing Run 48227 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
0	239	-1.0	0
239	9098	-1.0	0
9098	19084	-1.0	0
19084	33925	-1.0	0
33925	43453	-1.0	0
43453	61018	-1.0	0
61018	69768	-1.0	0
69768	90784	-1.0	0
90784	98344	-1.0	0
98344	120091	-1.0	0
120091	134118	-1.0	0
134118	147963	-1.0	0
147963	162398	-1.0	0
162398	169607	-1.0	0
169607	190728	-1.0	0
190728	204487	-1.0	0
204487	218586	-1.0	0
218586	237304	-1.0	0
237304	253742	-1.0	0
253742	268633	-1.0	0
268633	282317	-1.0	0
282317	296635	-1.0	0
296635	310854	-1.0	0
310854	324994	-1.0	0
324994	339987	-1.0	0
339987	352432	-1.0	0
352432	366656	-1.0	0
366656	382474	-1.0	0
382474	394465	-1.0	0
394465	420080	-1.0	0
420080	429018	-1.0	0
429018	447307	-1.0	0
447307	461090	-1.0	0
461090	476318	-1.0	0
476318	495978	-1.0	0
495978	510017	-1.0	0
510017	525325	-1.0	0
525325	540863	-1.0	0
540863	546799	-1.0	0
546799	565195	-1.0	0
565195	579244	-1.0	0
579244	600287	-1.0	0
600287	614571	-1.0	0
614571	621785	-1.0	0
621785	644831	-1.0	0
644831	651110	-1.0	0
651110	666089	-1.0	0
666089	679954	-1.0	0
679954	693897	-1.0	0
693897	713804	-1.0	0
713804	726458	-1.0	0
726458	745387	-1.0	0
745387	755605	-1.0	0
755605	770122	-1.0	0
770122	790606	-1.0	0
790606	804429	-1.0	0
804429	812234	-1.0	0
812234	823219	-1.0	0
823219	842508	-1.0	0
842508	861064	-1.0	0
861064	873334	-1.0	0
873334	887584	-1.0	0
887584	901723	-1.0	0
901723	913857	-1.0	0
913857	933413	-1.0	0
933413	953706	-1.0	0
953706	967045	-1.0	0
967045	974739	-1.0	0
974739	988597	-1.0	0
988597	1005272	-1.0	0
1005272	1019131	-1.0	0
1019131	1029092	-1.0	0
1029092	1044108	-1.0	0
1044108	1060844	-1.0	0
1060844	1079435	-1.0	0
1079435	1092365	-1.0	0
1092365	1099339	-1.0	0
1099339	1113245	-1.0	0
1113245	1134000	-1.0	0
1134000	1147834	-1.0	0
1147834	1161992	-1.0	0
1161992	1182910	-1.0	0
1182910	1189895	-1.0	0
1189895	1210997	-1.0	0
1210997	1225001	-1.0	0
1225001	1234866	-1.0	0
1234866	1255568	-1.0	0
1255568	1268481	-1.0	0
1268481	1276003	-1.0	0
1276003	1298460	-1.0	0
1298460	1316710	-1.0	0
1316710	1330911	-1.0	0
1330911	1344970	-1.0	0
1344970	1352807	-1.0	0
1352807	1373417	-1.0	0
1373417	1386904	-1.0	0
1386904	1401439	-1.0	0
1401439	1414560	-1.0	0
1414560	1434998	-1.0	0
1434998	1452145	-1.0	0
1452145	1459956	-1.0	0
1459956	1473466	-1.0	0
1473466	1493935	-1.0	0
1493935	1501788	-1.0	0
1501788	1525012	-1.0	0
1525012	1536970	-1.0	0
1536970	1556573	-1.0	0
1556573	1565486	-1.0	0
1565486	1583379	-1.0	0
1583379	1599173	-1.0	0
1599173	1614812	-1.0	0
1614812	1622122	-1.0	0
1622122	1635695	-1.0	0
1635695	1657803	-1.0	0
1657803	1672999	-1.0	0
1672999	1683816	-1.0	0
1683816	1697923	-1.0	0
1697923	1711651	-1.0	0
1711651	1725776	-1.0	0
1725776	1749657	-1.0	0
1749657	1762357	-1.0	0
1762357	1777907	-1.0	0
1777907	1786043	-1.0	0
1786043	1799170	-1.0	0
1799170	1816241	-1.0	0
1816241	1833067	-1.0	0
1833067	1848592	-1.0	0
1848592	1854912	-1.0	0
1854912	1869339	-1.0	0
1869339	1895057	-1.0	0
1895057	1904134	-1.0	0
1904134	1918310	-1.0	0
1918310	1939096	-1.0	0
1939096	1951203	-1.0	0
1951203	1971475	-1.0	0
1971475	1978476	-1.0	0
1978476	1992387	-1.0	0
1992387	2006891	-1.0	0
2006891	2025772	-1.0	0
2025772	2042324	-1.0	0
2042324	2056046	-1.0	0
2056046	2069445	-1.0	0
2069445	2083932	-1.0	0
2083932	2096444	-1.0	0
2096444	2113997	-1.0	0
2113997	2133792	-1.0	0
2133792	2140879	-1.0	0
2140879	2154783	-1.0	0
2154783	2176092	-1.0	0
2176092	2196147	-1.0	0
2196147	2211412	-1.0	0
2211412	2218645	-1.0	0
2218645	2239675	-1.0	0
2239675	2254227	-1.0	0
2254227	2268524	-1.0	0
2268524	2282748	-1.0	0
2282748	2296780	-1.0	0
2296780	2311342	-1.0	0
2311342	2324793	-1.0	0
2324793	2340847	-1.0	0
2340847	2356812	-1.0	0
2356812	2367696	-1.0	0
2367696	2382009	-1.0	0
2382009	2396306	-1.0	0
2396306	2418558	-1.0	0
