#Processing Run 48236 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	 0.0	0
0	3475	1314.8	0
3475	23790	1313.0	0
23790	39049	1307.9	0
39049	59240	1307.5	0
59240	69190	1311.4	0
69190	84359	1313.0	0
84359	107449	1314.0	0
107449	116675	1315.6	0
116675	133130	1312.4	0
133130	151804	1316.2	0
151804	168301	1313.8	0
168301	183909	1312.8	0
183909	198623	1318.8	0
198623	213047	1317.2	0
213047	227553	1313.6	0
227553	242505	1313.8	0
242505	267440	1308.7	0
267440	282847	1314.2	0
282847	290483	1313.8	0
290483	305894	1311.6	0
305894	321261	1312.0	0
321261	339863	1312.2	0
339863	352957	1313.0	0
352957	367254	1314.2	0
367254	389257	1314.0	0
389257	397974	1311.2	0
397974	425567	1311.4	0
425567	429691	1315.8	0
429691	434509	1295.5	0
434509	446905	1293.5	0
446905	461138	1292.3	0
461138	467934	1232.9	0
467934	488020	1234.1	0
488020	501131	1239.9	0
501131	517483	1243.9	0
517483	536605	1252.0	0
536605	546678	1256.8	0
546678	569720	1267.0	0
569720	584401	1276.2	0
584401	603744	1316.4	0
603744	613620	1320.6	0
613620	627491	1330.0	0
627491	645985	1341.7	0
645985	656332	1350.9	0
656332	675956	1363.6	0
675956	697499	1373.2	0
697499	716880	-1.0	0
716880	729582	-1.0	0
729582	743642	-1.0	0
743642	755808	-1.0	0
755808	769111	1375.2	0
769111	787248	1374.8	0
787248	794804	1358.2	0
794804	807289	1341.5	0
807289	822055	1295.5	0
822055	841445	1267.2	0
841445	857752	1278.6	0
857752	872001	1306.9	0
872001	885759	1307.9	0
885759	904559	1311.8	0
904559	933106	1308.1	0
933106	944818	1307.7	0
944818	960521	1308.3	0
960521	978860	1311.4	0
978860	992166	1311.4	0
992166	1022533	1312.2	0
1022533	1034230	1312.6	0
1034230	1046153	1311.8	0
1046153	1059442	1312.8	0
1059442	1082500	1300.3	0
1082500	1096228	1317.8	0
1096228	1109866	1316.2	0
1109866	1124315	1315.2	0
