#Processing Run 48278 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48265.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
0	1867	1278.6	0
1867	11999	1282.8	0
11999	25533	1281.8	0
25533	39640	1285.6	0
39640	55577	1287.2	0
55577	69109	1292.1	0
69109	79456	1292.5	0
79456	99464	1288.6	0
99464	112657	1291.3	0
112657	132472	1288.4	0
132472	136098	1287.2	0
136098	149032	1286.2	0
149032	165589	1278.4	0
165589	175559	1272.0	0
175559	199152	1272.6	0
199152	206735	1273.0	0
206735	219551	1272.2	0
219551	232945	1271.6	0
232945	249912	1274.8	0
249912	268205	1273.0	0
268205	276564	1269.2	0
276564	289947	1269.6	0
289947	300335	1267.8	0
300335	314499	1268.8	0
314499	333359	1268.8	0
333359	345962	1269.6	0
345962	359897	1273.4	0
359897	373414	1274.0	0
373414	386196	1273.8	0
386196	403563	1271.8	0
403563	414369	1268.0	0
414369	427973	1266.8	0
427973	447765	1268.6	0
447765	455719	1265.4	0
455719	475466	1265.4	0
475466	490035	1263.4	0
490035	502157	1264.6	0
502157	512740	1263.4	0
512740	531912	1260.8	0
531912	545770	1260.6	0
545770	562423	1263.8	0
562423	570809	1263.6	0
570809	589533	1260.2	0
589533	597429	1263.2	0
597429	615929	1260.8	0
615929	624161	1261.0	0
624161	638106	1264.0	0
638106	657482	1267.2	0
657482	665010	1269.6	0
665010	684669	1274.4	0
684669	696015	1275.0	0
696015	708717	1272.2	0
708717	726425	1278.8	0
726425	744656	1271.2	0
744656	758356	1259.6	0
758356	769544	1257.0	0
769544	786026	1257.8	0
786026	796390	1256.0	0
796390	809667	1258.0	0
809667	823437	1258.6	0
823437	837083	1259.0	0
837083	853087	1260.8	0
853087	865147	1264.0	0
865147	878468	1261.4	0
878468	897730	1260.6	0
897730	911241	1264.0	0
911241	925565	1263.6	0
925565	938483	1260.8	0
938483	952605	1267.6	0
952605	964538	1267.6	0
964538	978064	1266.2	0
978064	999061	1259.6	0
999061	1006186	1258.6	0
1006186	1019564	1257.6	0
1019564	1038126	1245.9	0
1038126	1051930	1263.6	0
1051930	1066894	1250.4	0
1066894	1080650	1245.1	0
1080650	1097017	1248.4	0
1097017	1103610	1248.4	0
1103610	1117496	1248.6	0
1117496	1140269	1253.2	0
1140269	1145616	1254.0	0
1145616	1158127	1255.4	0
1158127	1171091	1254.2	0
1171091	1184294	1251.2	0
1184294	1200789	1257.0	0
1200789	1212936	1277.2	0
1212936	1223088	1277.0	0
1223088	1233047	1276.4	0
1233047	1243930	1275.2	0
1243930	1258895	1274.8	0
1258895	1268889	1269.0	0
1268889	1283957	1268.4	0
1283957	1296057	1266.6	0
1296057	1309621	1262.8	0
1309621	1323224	1258.4	0
1323224	1337407	1259.0	0
1337407	1354759	1260.2	0
1354759	1370806	1259.0	0
1370806	1385979	1260.6	0
1385979	1397623	1277.8	0
1397623	1406562	1275.2	0
1406562	1418227	1268.0	0
1418227	1427871	1254.4	0
1427871	1448154	1250.6	0
1448154	1462352	1251.2	0
1462352	1469950	1251.0	0
1469950	1490942	1255.2	0
1490942	1506777	1251.6	0
1506777	1515572	1250.4	0
1515572	1534293	1254.0	0
1534293	1542904	1259.0	0
1542904	1566174	1256.0	0
1566174	1580524	1250.8	0
1580524	1587545	1246.3	0
1587545	1608452	1245.3	0
1608452	1619286	1241.7	0
1619286	1641906	1244.3	0
1641906	1645656	1248.8	0
1645656	1659816	1245.7	0
1659816	1678115	1245.1	0
1678115	1687092	1246.5	0
1687092	1712485	1245.3	0
1712485	1719404	1250.6	0
1719404	1737036	1251.2	0
1737036	1744384	1243.9	0
1744384	1761799	1248.6	0
1761799	1777643	1250.6	0
1777643	1794902	1248.2	0
1794902	1808532	1248.0	0
1808532	1815367	1248.6	0
1815367	1831826	1248.2	0
1831826	1848320	1251.2	0
1848320	1861273	1252.0	0
1861273	1876800	1251.2	0
1876800	1888446	1244.7	0
1888446	1904021	1248.2	0
1904021	1923201	1249.0	0
1923201	1933328	1252.6	0
1933328	1954253	1257.2	0
1954253	1958326	1256.2	0
1958326	1993345	1258.4	0
1993345	2001701	1257.0	0
2001701	2015461	1253.8	0
2015461	2027184	1255.4	0
2027184	2041410	1257.2	0
2041410	2065793	1259.4	0
2065793	2070889	1257.0	0
2070889	2084529	1259.0	0
2084529	2097459	1256.6	0
2097459	2111558	1258.4	0
2111558	2127126	1258.4	0
2127126	2140377	1256.4	0
2140377	2153935	1257.8	0
2153935	2167414	1250.2	0
2167414	2180634	1252.2	0
2180634	2198944	1252.4	0
2198944	2207375	1253.0	0
2207375	2220989	1251.8	0
2220989	2240993	1249.6	0
2240993	2248156	1251.2	0
2248156	2272833	1251.6	0
2272833	2282039	1250.4	0
2282039	2299859	1251.8	0
2299859	2309581	1252.4	0
2309581	2323257	1255.6	0
2323257	2346004	1253.2	0
2346004	2355900	1257.2	0
2355900	2365389	1257.4	0
2365389	2377395	1260.0	0
2377395	2390237	1263.0	0
2390237	2416958	1263.4	0
2416958	2423740	1260.6	0
2423740	2440250	1258.6	0
2440250	2450820	1258.2	0
2450820	2462509	1258.6	0
2462509	2484339	1259.8	0
2484339	2491364	1260.8	0
2491364	2504499	1256.8	0
2504499	2524809	1256.0	0
2524809	2538164	1251.6	0
2538164	2551455	1251.6	0
2551455	2560432	1251.8	0
2560432	2577958	1253.2	0
2577958	2587757	1251.0	0
2587757	2606464	1246.3	0
2606464	2627577	1253.0	0
2627577	2633845	1252.6	0
2633845	2651547	1252.6	0
2651547	2665041	1254.6	0
2665041	2678519	1259.6	0
2678519	2695008	1261.0	0
2695008	2708484	1273.0	0
2708484	2717395	1266.6	0
2717395	2730266	1262.8	0
2730266	2749489	1249.0	0
2749489	2763036	1249.2	0
2763036	2777837	1255.6	0
2777837	2791322	1254.2	0
2791322	2801955	1256.0	0
2801955	2815155	1255.8	0
2815155	2839192	1254.6	0
2839192	2845212	1255.4	0
2845212	2858801	1257.0	0
2858801	2877038	1256.4	0
2877038	2885838	1256.2	0
2885838	2906267	1254.2	0
2906267	2916504	1253.2	0
2916504	2930881	1252.4	0
2930881	2943681	1249.8	0
2943681	2960315	1249.4	0
2960315	2980619	1251.4	0
2980619	2987371	1253.4	0
2987371	3001082	1253.2	0
3001082	3014511	1254.6	0
3014511	3028325	1256.2	0
3028325	3044631	1256.2	0
3044631	3061938	1252.6	0
3061938	3069064	1251.2	0
3069064	3082772	1249.2	0
3082772	3102560	1248.8	0
3102560	3122967	1241.5	0
3122967	3134523	1239.9	0
3134523	3147266	1242.3	0
3147266	3165758	1276.4	0
3165758	3189130	1255.8	0
3189130	3199447	1241.7	0
3199447	3213034	1243.7	0
3213034	3228626	1243.7	0
3228626	3238707	1240.3	0
3238707	3252008	1240.9	0
3252008	3266330	1239.1	0
3266330	3286548	1240.1	0
3286548	3299786	1240.1	0
3299786	3307109	1244.1	0
3307109	3320901	1249.2	0
3320901	3334136	1252.8	0
3334136	3361580	1252.8	0
3361580	3367227	1246.3	0
3367227	3379003	1251.4	0
3379003	3393263	1251.0	0
3393263	3405697	1245.3	0
3405697	3424645	1241.7	0
3424645	3437353	1241.9	0
3437353	3451004	1243.3	0
3451004	3464755	1243.3	0
3464755	3485244	1241.7	0
3485244	3499981	1241.9	0
3499981	3510040	1240.3	0
3510040	3522534	1239.3	0
3522534	3536431	1240.3	0
3536431	3550048	1242.9	0
3550048	3575614	1242.3	0
3575614	3582980	1238.7	0
3582980	3596693	1234.7	0
3596693	3610876	1233.9	0
3610876	3628670	1232.9	0
3628670	3643425	1231.5	0
3643425	3653105	1233.5	0
3653105	3668719	1228.9	0
3668719	3681290	1227.1	0
3681290	3701317	1229.7	0
3701317	3720132	1230.1	0
3720132	3730495	1229.7	0
3730495	3742047	1228.3	0
3742047	3756296	1228.9	0
3756296	3773912	1227.5	0
3773912	3789234	1227.9	0
3789234	3805991	1227.5	0
3805991	3815575	1230.5	0
3815575	3829588	1228.9	0
3829588	3843778	1230.5	0
3843778	3864841	1232.5	0
3864841	3872673	1233.7	0
3872673	3889060	1237.1	0
3889060	3904772	1240.5	0
3904772	3915716	1241.5	0
3915716	3935022	1240.9	0
3935022	3949133	1237.7	0
3949133	3963066	1233.7	0
3963066	3977079	1232.5	0
3977079	3990268	1234.1	0
3990268	4011407	1238.3	0
4011407	4024327	1234.7	0
4024327	4032840	1232.5	0
4032840	4052864	1233.1	0
4052864	4060114	1231.9	0
4060114	4076020	1232.7	0
4076020	4083161	1262.8	0
4083161	4098740	1254.4	0
4098740	4103993	1251.8	0
4103993	4119198	1249.4	0
4119198	4128377	1248.2	0
4128377	4139608	1242.9	0
4139608	4152374	1239.3	0
4152374	4166181	1238.7	0
4166181	4185180	1239.1	0
4185180	4202182	1224.3	0
4202182	4215714	1223.3	0
4215714	4228275	1227.1	0
4228275	4239333	1229.5	0
4239333	4256205	1230.3	0
4256205	4275470	1224.5	0
4275470	4284031	1227.7	0
4284031	4298036	1228.9	0
4298036	4312266	1224.7	0
4312266	4333768	-1.0	0
4333768	4343236	-1.0	0
4343236	4357164	-1.0	0
4357164	4371466	-1.0	0
