#Processing Run 48291 for polarization tables
#The run table thinks this was a DPERPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48290.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
0	9252	1322.5	1
9252	32493	1342.9	1
32493	39019	1342.7	1
39019	45221	1308.1	1
45221	58113	-1.0	1
58113	64319	-1.0	1
64319	78117	-1.0	1
78117	88167	-1.0	1
88167	97333	-1.0	1
97333	102186	-1.0	1
102186	115800	-1.0	1
115800	125268	-1.0	1
125268	133545	-1.0	1
133545	144707	-1.0	1
144707	149325	1303.5	1
149325	161454	1346.7	1
161454	171965	1301.7	1
171965	181372	1328.5	1
181372	192675	-1.0	1
192675	199870	-1.0	1
199870	208838	-1.0	1
208838	222152	-1.0	1
222152	231985	-1.0	1
231985	241259	-1.0	1
241259	246658	-1.0	1
246658	259632	-1.0	1
259632	273488	-1.0	1
273488	282434	-1.0	1
282434	287384	-1.0	1
287384	296428	-1.0	1
296428	305668	-1.0	1
305668	315122	-1.0	1
315122	324451	1297.9	1
324451	338204	1320.0	1
338204	342961	-1.0	1
342961	356355	-1.0	1
356355	365822	-1.0	1
365822	375388	-1.0	1
375388	384048	-1.0	1
384048	394033	-1.0	1
394033	399386	-1.0	1
399386	412565	-1.0	1
412565	421982	-1.0	1
421982	430972	-1.0	1
430972	441968	-1.0	1
441968	449620	-1.0	1
449620	461981	-1.0	1
461981	472755	-1.0	1
472755	481900	-1.0	1
481900	488051	-1.0	1
488051	497159	-1.0	1
497159	509379	-1.0	1
509379	518302	-1.0	1
518302	526732	-1.0	1
526732	536133	-1.0	1
536133	545923	-1.0	1
545923	560108	-1.0	1
560108	567189	-1.0	1
567189	574020	-1.0	1
574020	587544	-1.0	1
587544	592435	-1.0	1
592435	606296	-1.0	1
606296	615847	-1.0	1
615847	628205	-1.0	1
628205	631550	-1.0	1
631550	652666	-1.0	1
652666	661889	-1.0	1
661889	671057	-1.0	1
671057	681914	-1.0	1
681914	689570	-1.0	1
689570	703470	-1.0	1
703470	708817	-1.0	1
708817	721689	-1.0	1
721689	726291	-1.0	1
726291	736576	-1.0	1
736576	749362	-1.0	1
749362	757997	-1.0	1
757997	767511	-1.0	1
767511	776494	-1.0	1
776494	788008	-1.0	1
788008	796263	-1.0	1
796263	808576	-1.0	1
808576	813315	-1.0	1
813315	822415	-1.0	1
822415	831528	-1.0	1
831528	845019	-1.0	1
845019	855637	-1.0	1
855637	864691	1344.7	1
864691	873862	1346.7	1
873862	883042	1348.7	1
883042	894396	-1.0	1
894396	906252	-1.0	1
906252	914903	-1.0	1
914903	921090	-1.0	1
921090	934193	-1.0	1
934193	947656	-1.0	1
947656	952831	-1.0	1
952831	961083	-1.0	1
961083	971217	-1.0	1
971217	979781	-1.0	1
979781	994779	-1.0	1
994779	1001912	-1.0	1
1001912	1008781	-1.0	1
1008781	1020272	-1.0	1
1020272	1030253	-1.0	1
1030253	1041852	-1.0	1
1041852	1047819	-1.0	1
1047819	1060637	-1.0	1
1060637	1068768	-1.0	1
1068768	1076388	-1.0	1
1076388	1088098	-1.0	1
1088098	1097467	-1.0	1
1097467	1106743	-1.0	1
1106743	1115910	-1.0	1
1115910	1126827	-1.0	1
1126827	1135654	-1.0	1
1135654	1148153	-1.0	1
1148153	1157814	-1.0	1
1157814	1167072	-1.0	1
1167072	1172387	-1.0	1
1172387	1184469	-1.0	1
1184469	1192661	-1.0	1
1192661	1203024	-1.0	1
1203024	1213087	-1.0	1
1213087	1222291	-1.0	1
1222291	1236046	-1.0	1
1236046	1242050	-1.0	1
1242050	1253550	-1.0	1
1253550	1262702	-1.0	1
1262702	1281938	-1.0	1
1281938	1288331	-1.0	1
1288331	1296035	-1.0	1
1296035	1308703	-1.0	1
1308703	1319085	-1.0	1
1319085	1328118	-1.0	1
1328118	1337150	-1.0	1
1337150	1346492	-1.0	1
1346492	1355572	-1.0	1
1355572	1366230	-1.0	1
1366230	1380127	-1.0	1
1380127	1383999	-1.0	1
1383999	1392401	-1.0	1
1392401	1406520	-1.0	1
1406520	1411251	-1.0	1
1411251	1424999	-1.0	1
1424999	1433863	-1.0	1
1433863	1442471	-1.0	1
1442471	1452597	-1.0	1
1452597	1461012	-1.0	1
1461012	1471240	-1.0	1
1471240	1484922	-1.0	1
1484922	1494402	-1.0	1
1494402	1499062	-1.0	1
1499062	1508840	-1.0	1
1508840	1521497	-1.0	1
1521497	1528507	-1.0	1
1528507	1540526	-1.0	1
1540526	1547471	-1.0	1
1547471	1554194	-1.0	1
1554194	1568102	-1.0	1
1568102	1577233	-1.0	1
1577233	1586329	-1.0	1
1586329	1595278	-1.0	1
1595278	1604275	-1.0	1
1604275	1615400	-1.0	1
1615400	1623766	-1.0	1
1623766	1633299	-1.0	1
1633299	1645112	1360.6	1
1645112	1651064	-1.0	1
1651064	1664801	-1.0	1
1664801	1671869	-1.0	1
1671869	1683139	-1.0	1
1683139	1692350	-1.0	1
1692350	1701543	-1.0	1
1701543	1715032	-1.0	1
1715032	1719471	1340.5	1
1719471	1728877	-1.0	1
1728877	1742301	-1.0	1
1742301	1751177	-1.0	1
1751177	1761632	-1.0	1
1761632	1771173	-1.0	1
1771173	1775933	-1.0	1
1775933	1785242	-1.0	1
1785242	1799054	-1.0	1
1799054	1808797	-1.0	1
1808797	1818069	-1.0	1
1818069	1825890	-1.0	1
1825890	1839403	-1.0	1
1839403	1843597	-1.0	1
1843597	1857829	-1.0	1
1857829	1868143	-1.0	1
1868143	1874419	-1.0	1
1874419	1883808	-1.0	1
1883808	1893275	-1.0	1
1893275	1907855	-1.0	1
1907855	1913021	-1.0	1
1913021	1926540	-1.0	1
1926540	1936015	-1.0	1
1936015	1945631	-1.0	1
1945631	1960054	-1.0	1
1960054	1965299	-1.0	1
1965299	1978363	-1.0	1
1978363	1983801	-1.0	1
1983801	1993273	-1.0	1
1993273	2006778	-1.0	1
2006778	2012390	-1.0	1
2012390	2022170	-1.0	1
2022170	2031271	-1.0	1
2031271	2045595	-1.0	1
2045595	2055280	-1.0	1
2055280	2062843	-1.0	1
2062843	2073782	-1.0	1
2073782	2081327	-1.0	1
2081327	2092375	-1.0	1
2092375	2107320	-1.0	1
2107320	2112025	-1.0	1
2112025	2121572	1338.9	1
2121572	2130365	1334.7	1
2130365	2143712	-1.0	1
2143712	2154475	-1.0	1
2154475	2162734	-1.0	1
2162734	2171830	1346.5	1
2171830	2182893	-1.0	1
2182893	2192448	-1.0	1
2192448	2202339	-1.0	1
2202339	2216189	-1.0	1
2216189	2225715	-1.0	1
2225715	2230403	-1.0	1
2230403	2252133	-1.0	1
2252133	2259242	-1.0	1
2259242	2268529	-1.0	1
2268529	2282639	-1.0	1
2282639	2287242	-1.0	1
2287242	2304478	-1.0	1
2304478	2311191	-1.0	1
2311191	2318253	-1.0	1
2318253	2329880	-1.0	1
2329880	2338104	-1.0	1
2338104	2350159	-1.0	1
2350159	2357546	-1.0	1
2357546	2371534	-1.0	1
2371534	2376281	-1.0	1
2376281	2385772	-1.0	1
2385772	2399967	-1.0	1
2399967	2405318	-1.0	1
2405318	2416697	-1.0	1
2416697	2426072	1327.8	1
2426072	2433530	-1.0	1
2433530	2451464	-1.0	1
2451464	2456651	-1.0	1
2456651	2466004	-1.0	1
2466004	2475449	-1.0	1
2475449	2488149	-1.0	1
2488149	2498485	-1.0	1
2498485	2503889	-1.0	1
2503889	2517489	1293.7	1
2517489	2527043	-1.0	1
2527043	2536672	-1.0	1
2536672	2546050	-1.0	1
2546050	2561081	-1.0	1
2561081	2569353	-1.0	1
2569353	2575188	-1.0	1
2575188	2589304	-1.0	1
2589304	2593966	1311.0	1
2593966	2607484	-1.0	1
2607484	2613210	-1.0	1
2613210	2625431	-1.0	1
2625431	2636231	-1.0	1
2636231	2640934	-1.0	1
2640934	2654946	-1.0	1
2654946	2664731	-1.0	1
2664731	2677059	-1.0	1
2677059	2683222	-1.0	1
2683222	2691876	-1.0	1
2691876	2703447	-1.0	1
2703447	2711200	-1.0	1
2711200	2720550	-1.0	1
2720550	2734749	-1.0	1
2734749	2739057	-1.0	1
2739057	2754288	1338.9	1
2754288	2761071	1344.2	1
2761071	2772182	-1.0	1
2772182	2780025	-1.0	1
2780025	2789020	-1.0	1
2789020	2805874	-1.0	1
2805874	2810654	-1.0	1
2810654	2819955	-1.0	1
2819955	2829288	-1.0	1
2829288	2841976	-1.0	1
2841976	2851376	1344.9	1
2851376	2859533	1342.1	1
2859533	2869126	1306.7	1
2869126	2880310	-1.0	1
2880310	2888418	-1.0	1
2888418	2899581	-1.0	1
2899581	2911782	-1.0	1
2911782	2918328	-1.0	1
2918328	2930578	-1.0	1
2930578	2940034	-1.0	1
2940034	2953198	-1.0	1
2953198	2959635	-1.0	1
2959635	2965277	-1.0	1
2965277	2974696	-1.0	1
2974696	2988699	-1.0	1
2988699	3001236	-1.0	1
3001236	3006627	-1.0	1
3006627	3014496	-1.0	1
3014496	3026284	-1.0	1
3026284	3034538	1292.9	1
3034538	3049499	1293.7	1
3049499	3058860	-1.0	1
3058860	3064746	-1.0	1
3064746	3076097	-1.0	1
3076097	276	-1.0	1
276	3087087	-1.0	1
3087087	3096789	-1.0	1
3096789	3111072	-1.0	1
3111072	3120469	-1.0	1
3120469	3129302	-1.0	1
3129302	3138670	-1.0	1
3138670	3145761	-1.0	1
3145761	3158894	-1.0	1
3158894	3166625	-1.0	1
3166625	3180675	-1.0	1
3180675	3185784	-1.0	1
3185784	3194793	-1.0	1
3194793	3206962	-1.0	1
3206962	3218299	-1.0	1
3218299	3224146	-1.0	1
3224146	3235890	-1.0	1
3235890	3242938	-1.0	1
3242938	3255932	-1.0	1
3255932	3264263	-1.0	1
3264263	3274673	-1.0	1
3274673	3284140	-1.0	1
3284140	3292492	-1.0	1
3292492	3307581	-1.0	1
3307581	3317014	-1.0	1
3317014	3323727	-1.0	1
3323727	3335817	-1.0	1
3335817	3345142	-1.0	1
3345142	3354610	-1.0	1
3354610	3364095	1290.3	1
3364095	3371641	1335.2	1
3371641	3384661	1380.1	1
3384661	3392342	1329.4	1
3392342	3401751	1278.7	1
3401751	3410741	-1.0	1
3410741	3420632	-1.0	1
3420632	3434786	-1.0	1
3434786	3439518	-1.0	1
3439518	3445159	-1.0	1
3445159	3452082	-1.0	1
3452082	3460532	-1.0	1
3460532	3473661	-1.0	1
3473661	3483138	-1.0	1
3483138	3492429	-1.0	1
3492429	3501913	-1.0	1
3501913	3510293	-1.0	1
3510293	3521219	-1.0	1
3521219	3531792	-1.0	1
3531792	3539359	1289.7	1
3539359	3553535	1297.3	1
3553535	3560174	1304.9	1
3560174	3572120	-1.0	1
3572120	3580871	-1.0	1
3580871	3589306	-1.0	1
3589306	3598169	-1.0	1
3598169	3609081	-1.0	1
3609081	3619666	-1.0	1
3619666	3628039	-1.0	1
3628039	3637300	-1.0	1
3637300	3651191	-1.0	1
3651191	3655844	-1.0	1
3655844	3671190	-1.0	1
3671190	3679417	-1.0	1
3679417	3684134	-1.0	1
3684134	3698207	-1.0	1
3698207	3706765	-1.0	1
3706765	3716990	-1.0	1
3716990	3727429	-1.0	1
3727429	3736928	-1.0	1
3736928	3743651	-1.0	1
3743651	3756477	-1.0	1
3756477	3765747	-1.0	1
3765747	3775894	-1.0	1
3775894	3782965	-1.0	1
3782965	3796167	-1.0	1
3796167	3801065	-1.0	1
3801065	3814227	-1.0	1
3814227	3823641	-1.0	1
3823641	3831427	1315.0	1
3831427	3843949	1317.3	1
3843949	3853539	1319.7	1
3853539	3862809	1271.4	1
3862809	3872370	1223.9	1
3872370	3880147	1282.2	1
3880147	3891003	1282.1	1
3891003	3901222	-1.0	1
3901222	3913444	-1.0	1
3913444	3923953	-1.0	1
3923953	3933437	-1.0	1
3933437	3942884	-1.0	1
3942884	3947632	-1.0	1
3947632	3961756	-1.0	1
3961756	3971073	-1.0	1
3971073	3981047	-1.0	1
3981047	3989971	-1.0	1
3989971	3999308	-1.0	1
3999308	4009912	-1.0	1
4009912	4018120	-1.0	1
4018120	4031181	-1.0	1
4031181	4037084	-1.0	1
4037084	4046525	-1.0	1
4046525	4060635	-1.0	1
4060635	4065767	-1.0	1
4065767	4077705	1232.1	1
4077705	4086896	1229.7	1
4086896	4097348	1291.5	1
4097348	4112356	-1.0	1
4112356	4116947	-1.0	1
4116947	4126276	-1.0	1
4126276	4135612	-1.0	1
4135612	4145781	-1.0	1
4145781	4158094	-1.0	1
4158094	4164004	-1.0	1
4164004	4173623	-1.0	1
4173623	4187256	-1.0	1
4187256	4192392	-1.0	1
4192392	4205900	-1.0	1
4205900	4215162	1255.4	1
4215162	4224530	-1.0	1
4224530	4233836	-1.0	1
4233836	4244227	-1.0	1
4244227	4254434	-1.0	1
4254434	4261959	-1.0	1
4261959	4271476	-1.0	1
4271476	4280949	-1.0	1
4280949	4292287	-1.0	1
4292287	4302877	-1.0	1
4302877	4312017	-1.0	1
4312017	4323152	-1.0	1
4323152	4330253	-1.0	1
4330253	4340352	-1.0	1
4340352	4351560	-1.0	1
4351560	4363944	-1.0	1
4363944	4371136	-1.0	1
4371136	4379614	-1.0	1
4379614	4390034	-1.0	1
